"";"cod_ente";"anno";"codice_gestionale";"imp_uscite_att";"data_inc_siope";"data_esc_siope";"cod_fiscale";"descr_ente";"cod_comune";"cod_provincia";"num_abitanti";"sottocomparto_siope";"imp_per_cap"
"88";36777;2014;1566;7537,68;"2007-01-02";"9999-12-31";206310252;"COMUNE DI SAN VITO DI CADORE";51;25;1795;"COMUNE";4,2
"89";15887356;2014;1569;306801,69;"2007-01-01";"9999-12-31";80005530250;"COMUNE DI SELVA DI CADORE";54;25;516;"COMUNE";594,58
"90";15906281;2014;1570;5,66;"2007-01-02";"9999-12-31";206230252;"COMUNE DI VODO CADORE";66;25;898;"COMUNE";0,01
"91";11116132;2014;1571;1661242,99;"2007-01-01";"9999-12-31";87640256;"COMUNE DI CORTINA D'AMPEZZO";16;25;5931;"COMUNE";280,09
"92";29256313;2014;1572;50000;"2014-03-24";"9999-12-31";1155460254;"COMUNE DI LONGARONE";71;25;6;"COMUNE";8333,33
"93";29256313;2014;1581;169510,49;"2014-03-24";"9999-12-31";1155460254;"COMUNE DI LONGARONE";71;25;6;"COMUNE";28251,75
"94";29256313;2014;1582;37228,72;"2014-03-24";"9999-12-31";1155460254;"COMUNE DI LONGARONE";71;25;6;"COMUNE";6204,79
"95";29256313;2014;1583;13625,62;"2014-03-24";"9999-12-31";1155460254;"COMUNE DI LONGARONE";71;25;6;"COMUNE";2270,94
"96";29256313;2014;1601;5780;"2014-03-24";"9999-12-31";1155460254;"COMUNE DI LONGARONE";71;25;6;"COMUNE";963,33
"97";29256313;2014;1602;35607,53;"2014-03-24";"9999-12-31";1155460254;"COMUNE DI LONGARONE";71;25;6;"COMUNE";5934,59
"98";31809;2014;1611;7,31;"2007-01-01";"9999-12-31";185920253;"COMUNE DI FARRA D'ALPAGO";20;25;2684;"COMUNE";0
"99";34666;2014;1612;8765,71;"2007-01-01";"9999-12-31";197180250;"COMUNE DI SAN NICOLO' DI COMELICO";46;25;407;"COMUNE";21,54
"100";31822;2014;1613;2941,4;"2007-01-01";"9999-12-31";185970258;"COMUNE DI LOZZO DI CADORE";33;25;1485;"COMUNE";1,98
